,new_plot_code,rai_2566,tons_per_rai_2566,cane_type_2566,soil_2566,cane_area_2566,rai_2567,tons_per_rai_2567,cane_type_2567,soil_2567,cane_area_2567,rai_2568,tons_per_rai_2568,cane_type_2568,soil_2568,cane_area_2568,water,average_yield,average_area,additional_yield,average_additional_water(mm),yield_probability
221,928106,หนองแก ,10.292735042735044,อ้อยตอ 1,ทราย ,9.36,หนองแก ,3.498931623931624,อ้อยตอ 2,ทราย ,9.36,หนองแก ,6.774813233724654,อ้อยน้ำราด,ทราย,9.37,ชลประทาน (> 3 ครั้ง),6.855493300130441,9.363333333333332,0.0,675.1904761904761,0.07186839579147523
222,928108,หนองแก ,6.776488785769529,อ้อยตอ 1,ทราย ,25.86,หนองแก ,0.685614849187935,อ้อยตอ 2,ทราย ,25.86,หนองแก ,,พักดิน,ทราย,,น้ำเสริม (1-3 ครั้ง),3.731051817478732,25.86,0.0,675.1904761904761,0.001088542054183867
223,928109,หนองแก ,18.646234676007005,อ้อยน้ำราด,ทราย ,17.13,หนองแก ,8.060128429655576,อ้อยตอ 1,ทราย ,17.13,หนองแก ,4.953125,อ้อยตอ 2,ทราย,17.28,น้ำเสริม (1-3 ครั้ง),10.553162701887528,17.18,3.4640599559964986,345.2800041908096,1.0
224,928104,หนองแก ,12.009317803660563,อ้อยตอ 1,เหนียว,30.05,หนองแก ,5.608985024958402,อ้อยตอ 2,เหนียว,30.05,หนองแก ,6.648585690515808,อ้อยน้ำราด,ทราย,30.05,ชลประทาน (> 3 ครั้ง),8.088962839711591,30.05,0.999860093820562,579.9657053504227,0.20349288268687044
225,928110,หนองแก ,13.352346278317151,อ้อยตอ 1,ทราย ,24.72,หนองแก ,6.943770226537217,อ้อยตอ 2,ทราย ,24.72,หนองแก ,10.185696871190574,อ้อยน้ำราด,ทราย,24.61,น้ำเสริม (1-3 ครั้ง),10.160604458681647,24.683333333333334,3.0715017127906172,382.6665035437507,1.0
226,928111,หนองแก ,8.701076320939334,อ้อยตอ 1,ทราย ,20.44,หนองแก ,3.481898238747554,อ้อยตอ 2,ทราย ,20.44,หนองแก ,4.726161369193154,อ้อยน้ำราด,ทราย,20.45,น้ำฝน,5.636378642960014,20.44333333333333,0.0,675.1904761904761,0.01842337322902744
227,928112,หนองแก ,16.887385740402195,อ้อยตุลาคม,เหนียว,27.35,หนองแก ,8.609140767824496,อ้อยตอ 1,เหนียว,27.35,หนองแก ,7.041786743515849,อ้อยตอ 2,ทราย,27.76,น้ำเสริม (1-3 ครั้ง),10.846104417247512,27.486666666666668,3.757001671356482,317.38079320414454,1.0
228,928113,หนองแก ,11.2972,อ้อยน้ำราด,เหนียว,25.0,หนองแก ,8.2532,อ้อยตอ 1,เหนียว,25.0,หนองแก ,5.1152,อ้อยตอ 2,ทราย,25.0,น้ำเสริม (1-3 ครั้ง),8.221866666666665,25.0,1.132763920775636,567.308198021368,0.22332074432006643
229,928114,หนองแก ,14.711784193090397,อ้อยน้ำราด,เหนียว,21.13,หนองแก ,8.501183151916706,อ้อยตอ 1,เหนียว,21.13,หนองแก ,5.230769230769231,อ้อยตอ 2,ทราย,20.67,น้ำเสริม (1-3 ครั้ง),9.481245525258776,20.976666666666667,2.392142779367747,447.36735434592885,0.4542513352264489
230,928124,หนองแก ,15.753391209983723,อ้อยตุลาคม,ทราย ,36.86,หนองแก ,5.391481280520891,อ้อยตอ 1,ทราย ,36.86,หนองแก ,8.00293020777837,อ้อยน้ำราด,ทราย,37.54,น้ำเสริม (1-3 ครั้ง),9.715934232760995,37.086666666666666,2.626831486869966,425.016048869527,1.0
231,928141,หนองแก ,10.46539712029726,อ้อยน้ำราด,ทราย ,21.53,หนองแก ,4.5587552252670696,อ้อยตอ 1,ทราย ,21.53,หนองแก ,4.651789865178986,อ้อยน้ำราด,ทราย,21.51,ชลประทาน (> 3 ครั้ง),6.558647403581105,21.523333333333337,0.0,675.1904761904761,0.053230440570297986
232,926101,หนองกระทิง ,13.85848252344416,อ้อยตอ 2,เหนียว,35.19,หนองกระทิง ,7.284455811310031,อ้อยตอ 3,เหนียว,35.19,หนองกระทิง ,7.882068769536803,อ้อยน้ำราด,เหนียว,35.19,ชลประทาน (> 3 ครั้ง),9.675002368096997,35.19,2.585899622205968,428.9143216946697,0.49380691259706083
233,926103,หนองกระทิง ,13.393294648613798,อ้อยตอ 1,เหนียว,31.02,หนองกระทิง ,11.188910380399744,อ้อยตอ 2,เหนียว,31.02,หนองกระทิง ,5.793036750483558,อ้อยตอ 3,เหนียว,31.02,ชลประทาน (> 3 ครั้ง),10.1250805931657,31.02,3.035977847274671,386.0497288309837,1.0
234,926107,หนองกระทิง ,18.76829268292683,อ้อยตอ 1,เหนียว,4.92,หนองกระทิง ,4.774390243902439,อ้อยตอ 2,เหนียว,4.92,หนองกระทิง ,,อ้อยน้ำราด,เหนียว,0.0,น้ำเสริม (1-3 ครั้ง),11.771341463414634,3.28,4.682238717523605,229.2629792834662,1.0
235,926108,หนองกระทิง ,20.285714285714285,อ้อยตอ 1,เหนียว,6.86,หนองกระทิง ,15.762390670553934,อ้อยตอ 2,เหนียว,6.86,หนองกระทิง ,4.604379562043796,อ้อยน้ำราด,เหนียว,6.85,น้ำเสริม (1-3 ครั้ง),13.550828172770672,6.8566666666666665,6.461725426879642,59.78805458289123,1.0
236,926109,หนองกระทิง ,13.82302373388152,อ้อยตอ 2,เหนียว,53.51,หนองกระทิง ,8.95477480844702,อ้อยตอ 3,เหนียว,53.51,หนองกระทิง ,8.509297912713471,อ้อยน้ำราด,เหนียว,52.7,ชลประทาน (> 3 ครั้ง),10.429032151680671,53.24,3.3399294057896416,357.10196135336747,1.0
237,926119,หนองกระทิง ,14.721398305084746,อ้อยตอ 1,เหนียว,9.44,หนองกระทิง ,6.8389830508474585,อ้อยตอ 2,เหนียว,9.44,หนองกระทิง ,3.596923076923077,อ้อยน้ำราด,เหนียว,9.75,น้ำเสริม (1-3 ครั้ง),8.385768144285093,9.543333333333333,1.2966653983940635,551.6985334862796,0.24922208616083275
238,926121,หนองกระทิง ,12.245027844073189,อ้อยตอ 1,เหนียว,25.14,หนองกระทิง ,8.103420843277645,อ้อยตอ 2,เหนียว,25.14,หนองกระทิง ,6.872734436564224,อ้อยน้ำราด,เหนียว,25.38,น้ำเสริม (1-3 ครั้ง),9.073727707971685,25.22,1.9846249620806553,486.1785750399376,0.37297048734889315
239,926122,หนองกระทิง ,18.228358208955225,อ้อยตอ 1,เหนียว,13.4,หนองกระทิง ,8.361940298507461,อ้อยตอ 2,เหนียว,13.4,หนองกระทิง ,9.91430646332607,อ้อยน้ำราด,เหนียว,13.77,น้ำเสริม (1-3 ครั้ง),12.168201656929584,13.523333333333333,5.079098911038555,191.46677037728048,1.0
240,926118,หนองกระทิง ,15.057607739665787,อ้อยตอ 1,เหนียว,22.74,หนองกระทิง ,8.938434476693052,อ้อยตอ 2,เหนียว,22.74,หนองกระทิง ,10.94760213143872,อ้อยน้ำราด,เหนียว,22.52,น้ำเสริม (1-3 ครั้ง),11.647881449265853,22.666666666666668,4.5587787033748235,241.02107586906442,1.0
